-903890459611764248,-902045785204393293
4377412368691282780,4379257043098653735
6384418123910882908,6386262798318253863
4148672742177284236,4150517416584655191
1542147804562123408,1543992478969494363
-7950546695768816168,-7948702021361445213
-9223372036850588,-7378697629479633
1293116759567044348,1294961433974415303
5510042454817049764,5511887129224420719
-7310444676411094436,-7308600002003723481
6467428472242575928,6469273146649946883
-8031712369693138232,-8029867695285767277
-6155678497396875980,-6153833822989505025
-2741186169353236424,-2739341494945865469
8223558508059726040,8225403182467096995
8780650179085754752,8782494853493125707
6260824938617028856,6262669613024399811
5812569057625886548,5814413732033257503
-4572947855872595732,-4571103181465224777
-8948515550156503364,-8946670875749132409
-6982092631899064268,-6980247957491693313
1534769106932639584,1536613781340010539
3999254115180236800,4001098789587607755
5899268754772321480,5901113429179692435
-4941882737346786932,-4940038062939415977
6275582333875996504,6277427008283367459
8478123576276917968,8479968250684288923
2078948057107071604,2080792731514442559
570004391877629596,571849066285000551
-4600617971983160072,-4598773297575789117
-8963272945415471012,-8961428271008100057
1984869662331152848,1986714336738523803
-7897051137955058444,-7895206463547687489
3123033771679032700,3124878446086403655
6000725847177724060,6002570521585095015
6843742051346250952,6845586725753621907
-4078575114697179524,-4076730440289808569
6810537912013573744,6812382586420944699
-2086326754736547044,-2084482080329176089
5736937406923677352,5738782081331048307
2038365220144910572,2040209894552281527
-1223019132086939636,-1221174457679568681
-5622567593666669696,-5620722919259298741
-4602462646390531028,-4600617971983160073
-1697100454781275328,-1695255780373904373
6744129633348219328,6745974307755590283
-6714614842830275648,-6712770168422904693
-2658175821021543404,-2656331146614172449
8583270017497062460,8585114691904433415
4962174155827875832,4964018830235246787
-1796712872779306952,-1794868198371935997
8450453460166353628,8452298134573724583
6895392934752637720,6897237609160008675
112525138849632508,114369813257003463
7782681324698067556,7784525999105438511
5439944827336953436,5441789501744324391
876220343501208292,878065017908579247
-4847804342570868176,-4845959668163497221
-8660746342606634228,-8658901668199263273
-1877878546703629016,-1876033872296258061
-156797324626527068,-154952650219156113
8444919436944240760,8446764111351611715
870686320279095424,872530994686466379
-684374205134620484,-682529530727249529
7137045282118232956,7138889956525603911
2370406613471682652,2372251287879053607
2610214286429906932,2612058960837277887
4462267391430346756,4464112065837717711
-8350841042168313620,-8348996367760942665
-8583270017497054076,-8581425343089683121
7946857346954082640,7948702021361453595
-3412647653636264408,-3410802979228893453
8985409038303930868,8987253712711301823
8623852854459223492,8625697528866594447
2307687683621070148,2309532358028441103
699131600393596516,700976274800967471
5085767341121729884,5087612015529100839
-5331109037302058648,-5329264362894687693
-1068066481867779332,-1066221807460408377
6781023121495638448,6782867795903009403
2272638869881021984,2274483544288392939
-1829917012111984160,-1828072337704613205
-7795594045549655864,-7793749371142284909
-5581984756704508664,-5580140082297137709
5661305756221468156,5663150430628839111
5744316104553161176,5746160778960532131
-1259912620234358756,-1258067945826987801
3150703887789597040,3152548562196967995
3707795558815625752,3709640233222996707
-3532551490115376548,-3530706815708005593
-4215081020842630268,-4213236346435259313
5847617871365934712,5849462545773305667
5098680061973326576,5100524736380697531
-1051464412201440728,-1049619737794069773
-3586047047929134272,-3584202373521763317
-8074139881062670220,-8072295206655299265
-6192571985544295100,-6190727311136924145
-4515762949244096096,-4513918274836725141
6983937306306443608,6985781980713814563
5268390107451454528,5270234781858825483
-6107716962805231124,-6105872288397860169
-6089270218731521564,-6087425544324150609
6347524635763463788,6349369310170834743
-7970838114249896684,-7968993439842525729
4360810299024944176,4362654973432315131
6819761284050428524,6821605958457799479
