






min: 8224849780144885712,max: 8225034247585622807
min: 8225034247585622808,max: 8225218715026359903
min: 8225218715026359904,max: 8225403182467096995
min: 8780650179085754752,max: 8780834646526491847
min: 8780834646526491848,max: 8781019113967228943
min: 8781019113967228944,max: 8781203581407966039
min: 8781203581407966040,max: 8781388048848703135
min: 8781388048848703136,max: 8781572516289440231
min: 8781572516289440232,max: 8781756983730177327
min: 8781756983730177328,max: 8781941451170914423
min: 8781941451170914424,max: 8782125918611651519
min: 8782125918611651520,max: 8782310386052388615
min: 8782310386052388616,max: 8782494853493125707
min: 6260824938617028856,max: 6261009406057765951
min: 6261009406057765952,max: 6261193873498503047
min: 6261193873498503048,max: 6261378340939240143
min: 6261378340939240144,max: 6261562808379977239
min: 6261562808379977240,max: 6261747275820714335
min: 6261747275820714336,max: 6261931743261451431
min: 6261931743261451432,max: 6262116210702188527
min: 6262116210702188528,max: 6262300678142925623
min: 6262300678142925624,max: 6262485145583662719
min: 6262485145583662720,max: 6262669613024399811
min: 5812569057625886548,max: 5812753525066623643
min: 5812753525066623644,max: 5812937992507360739
min: 5812937992507360740,max: 5813122459948097835
min: 5813122459948097836,max: 5813306927388834931
min: 5813306927388834932,max: 5813491394829572027
min: 5813491394829572028,max: 5813675862270309123
min: 5813675862270309124,max: 5813860329711046219
min: 5813860329711046220,max: 5814044797151783315
min: 5814044797151783316,max: 5814229264592520411
min: 5814229264592520412,max: 5814413732033257503
min: -4572947855872595732,max: -4572763388431858637
min: -4572763388431858636,max: -4572578920991121541
min: -4572578920991121540,max: -4572394453550384445
min: -4572394453550384444,max: -4572209986109647349
min: -4572209986109647348,max: -4572025518668910253
min: -4572025518668910252,max: -4571841051228173157
min: -4571841051228173156,max: -4571656583787436061
min: -4571656583787436060,max: -4571472116346698965
min: -4571472116346698964,max: -4571287648905961869
min: -4571287648905961868,max: -4571103181465224777
min: -8948515550156503364,max: -8948331082715766269
min: -8948331082715766268,max: -8948146615275029173
min: -8948146615275029172,max: -8947962147834292077
min: -8947962147834292076,max: -8947777680393554981
min: -8947777680393554980,max: -8947593212952817885
min: -8947593212952817884,max: -8947408745512080789
min: -8947408745512080788,max: -8947224278071343693
min: -8947224278071343692,max: -8947039810630606597
min: -8947039810630606596,max: -8946855343189869501
min: -8946855343189869500,max: -8946670875749132409
min: -6982092631899064268,max: -6981908164458327173
min: -6981908164458327172,max: -6981723697017590077
min: -6981723697017590076,max: -6981539229576852981
min: -6981539229576852980,max: -6981354762136115885
min: -6981354762136115884,max: -6981170294695378789
min: -6981170294695378788,max: -6980985827254641693
min: -6980985827254641692,max: -6980801359813904597
min: -6980801359813904596,max: -6980616892373167501
min: -6980616892373167500,max: -6980432424932430405
min: -6980432424932430404,max: -6980247957491693313
min: 1534769106932639584,max: 1534953574373376679
min: 1534953574373376680,max: 1535138041814113775
min: 1535138041814113776,max: 1535322509254850871
min: 1535322509254850872,max: 1535506976695587967
min: 1535506976695587968,max: 1535691444136325063
min: 1535691444136325064,max: 1535875911577062159
min: 1535875911577062160,max: 1536060379017799255
min: 1536060379017799256,max: 1536244846458536351
min: 1536244846458536352,max: 1536429313899273447
min: 1536429313899273448,max: 1536613781340010539
min: 3999254115180236800,max: 3999438582620973895
min: 3999438582620973896,max: 3999623050061710991
min: 3999623050061710992,max: 3999807517502448087
min: 3999807517502448088,max: 3999991984943185183
min: 3999991984943185184,max: 4000176452383922279
min: 4000176452383922280,max: 4000360919824659375
min: 4000360919824659376,max: 4000545387265396471
min: 4000545387265396472,max: 4000729854706133567
min: 4000729854706133568,max: 4000914322146870663
min: 4000914322146870664,max: 4001098789587607755
min: 5899268754772321480,max: 5899453222213058575
min: 5899453222213058576,max: 5899637689653795671
min: 5899637689653795672,max: 5899822157094532767
min: 5899822157094532768,max: 5900006624535269863
min: 5900006624535269864,max: 5900191091976006959
min: 5900191091976006960,max: 5900375559416744055
min: 5900375559416744056,max: 5900560026857481151
min: 5900560026857481152,max: 5900744494298218247
min: 5900744494298218248,max: 5900928961738955343
min: 5900928961738955344,max: 5901113429179692435
min: -4941882737346786932,max: -4941698269906049837
min: -4941698269906049836,max: -4941513802465312741
min: -4941513802465312740,max: -4941329335024575645
min: -4941329335024575644,max: -4941144867583838549
min: -4941144867583838548,max: -4940960400143101453
min: -4940960400143101452,max: -4940775932702364357
min: -4940775932702364356,max: -4940591465261627261
min: -4940591465261627260,max: -4940406997820890165
min: -4940406997820890164,max: -4940222530380153069
min: -4940222530380153068,max: -4940038062939415977
min: 6275582333875996504,max: 6275766801316733599
min: 6275766801316733600,max: 6275951268757470695
min: 6275951268757470696,max: 6276135736198207791
min: 6276135736198207792,max: 6276320203638944887
min: 6276320203638944888,max: 6276504671079681983
min: 6276504671079681984,max: 6276689138520419079
min: 6276689138520419080,max: 6276873605961156175
min: 6276873605961156176,max: 6277058073401893271
min: 6277058073401893272,max: 6277242540842630367
min: 6277242540842630368,max: 6277427008283367459
min: 8478123576276917968,max: 8478308043717655063
min: 8478308043717655064,max: 8478492511158392159
min: 8478492511158392160,max: 8478676978599129255
min: 8478676978599129256,max: 8478861446039866351
min: 8478861446039866352,max: 8479045913480603447
min: 8479045913480603448,max: 8479230380921340543
min: 8479230380921340544,max: 8479414848362077639
min: 8479414848362077640,max: 8479599315802814735
min: 8479599315802814736,max: 8479783783243551831
min: 8479783783243551832,max: 8479968250684288923
min: 2078948057107071604,max: 2079132524547808699
min: 2079132524547808700,max: 2079316991988545795
min: 2079316991988545796,max: 2079501459429282891
min: 2079501459429282892,max: 2079685926870019987
min: 2079685926870019988,max: 2079870394310757083
min: 2079870394310757084,max: 2080054861751494179
